name,location,vendor_categories,review,average_rating,count,image_count,reply_count,lat,lng,full_address,sido,gu,dong
대치동엄마도시락-본점,"{'lat': '37.4839342', 'lng': '126.93936786'}","['찜/탕', '한식', '도시락/죽', '포장']","{'average_rating': 4.9, 'count': 195, 'image_count': 157, 'reply_count': 179}",4.9,195.0,157.0,179.0,37.4839342,126.93936786,서울특별시 관악구 봉천로 356,서울,관악구,봉천동
앵그리포테이토치킨&버거-신림점,"{'lat': '37.4837321', 'lng': '126.92774951'}","['피자/양식', '버거', '분식', '포장', '1인분주문']","{'average_rating': 5.0, 'count': 203, 'image_count': 205, 'reply_count': 43}",5.0,203.0,205.0,43.0,37.4837321,126.92774951,서울특별시 관악구 남부순환로 1594,서울,관악구,신림동
호호솥밥-관악점,"{'lat': '37.4854819', 'lng': '126.93790844'}","['한식', '고기/구이', '일식/돈까스', '포장', '프랜차이즈', '신규맛집']","{'average_rating': 5.0, 'count': 20, 'image_count': 20, 'reply_count': 0}",5.0,20.0,20.0,0.0,37.4854819,126.93790844,서울특별시 관악구 봉천로25길 4,서울,관악구,봉천동
육회한날연어어때,"{'lat': '37.48203242479008', 'lng': '126.92966049495293'}","['포장', '일식/돈까스', '야식', '회/초밥']","{'average_rating': 5.0, 'count': 15593, 'image_count': 14295, 'reply_count': 13506}",5.0,15593.0,14295.0,13506.0,37.48203242479008,126.92966049495293,서울특별시 관악구 신림로 309,서울,관악구,신림동
괴짜반점-본점,"{'lat': '37.4839734', 'lng': '126.93930939'}","['한식', '중국집', '야식', '찜/탕', '포장']","{'average_rating': 4.8, 'count': 3847, 'image_count': 3532, 'reply_count': 2868}",4.8,3847.0,3532.0,2868.0,37.4839734,126.93930939,서울특별시 관악구 봉천로 356,서울,관악구,봉천동
파스타요고-신림본점,"{'lat': '37.486791', 'lng': '126.93785704'}","['피자/양식', '샐러드', '포장', '야식', '1인분주문']","{'average_rating': 4.8, 'count': 1016, 'image_count': 882, 'reply_count': 365}",4.8,1016.0,882.0,365.0,37.486791,126.93785704,서울특별시 관악구 봉천로23나길 46,서울,관악구,봉천동
대한카츠-동작점,"{'lat': '37.4965982', 'lng': '126.9306219'}","['한식', '분식', '일식/돈까스', '포장']","{'average_rating': 4.9, 'count': 1370, 'image_count': 1098, 'reply_count': 530}",4.9,1370.0,1098.0,530.0,37.4965982,126.9306219,서울특별시 동작구 국사봉길 74,서울,동작구,상도동
귀한족발-신림점,"{'lat': '37.4851311', 'lng': '126.92838959'}","['족발/보쌈', '프랜차이즈']","{'average_rating': 5.0, 'count': 6771, 'image_count': 6654, 'reply_count': 6594}",5.0,6771.0,6654.0,6594.0,37.4851311,126.92838959,서울특별시 관악구 신림로65길 20,서울,관악구,신림동
동해물과아구찜-관악점,"{'lat': '37.4834106580518', 'lng': '126.937948599715'}","['한식', '야식', '프랜차이즈', '찜/탕', '포장']","{'average_rating': 4.9, 'count': 6051, 'image_count': 5665, 'reply_count': 6045}",4.9,6051.0,5665.0,6045.0,37.4834106580518,126.937948599715,서울특별시 관악구 남부순환로200길 9,서울,관악구,봉천동
BHC-신림역점,"{'lat': '37.4830661', 'lng': '126.92859939'}","['프랜차이즈', '치킨']","{'average_rating': 4.9, 'count': 638, 'image_count': 551, 'reply_count': 415}",4.9,638.0,551.0,415.0,37.4830661,126.92859939,서울특별시 관악구 남부순환로176길 20,서울,관악구,신림동
뚜레쥬르-신림사거리점,"{'lat': '37.4847068532237', 'lng': '126.930663010992'}","['카페/디저트', '프랜차이즈', '포장', '샌드위치']","{'average_rating': 4.9, 'count': 8717, 'image_count': 7759, 'reply_count': 592}",4.9,8717.0,7759.0,592.0,37.4847068532237,126.930663010992,서울특별시 관악구 남부순환로 1619-1,서울,관악구,신림동
달떡볶이-관악직영점,"{'lat': '37.4802817', 'lng': '126.95471668'}","['포장', '한식', '분식', '야식', '프랜차이즈']","{'average_rating': 4.9, 'count': 5157, 'image_count': 4617, 'reply_count': 2632}",4.9,5157.0,4617.0,2632.0,37.4802817,126.95471668,서울특별시 관악구 남부순환로 1844,서울,관악구,봉천동
프리미엄진이찬방-신림당곡역점,"{'lat': '37.4902401', 'lng': '126.92784099'}","['한식', '프랜차이즈', '포장', '도시락/죽', '반찬']","{'average_rating': 4.9, 'count': 3909, 'image_count': 4015, 'reply_count': 3910}",4.9,3909.0,4015.0,3910.0,37.4902401,126.92784099,서울특별시 관악구 보라매로 8,서울,관악구,봉천동
짜글이미식회-신림점,"{'lat': '37.4783482641904', 'lng': '126.94115933268924'}","['한식', '포장', '찜/탕', '1인분주문', '고기/구이']","{'average_rating': 5.0, 'count': 4992, 'image_count': 3749, 'reply_count': 3256}",5.0,4992.0,3749.0,3256.0,37.4783482641904,126.94115933268924,서울특별시 관악구 참숯1길 19,서울,관악구,봉천동
연탄할미숯불삼겹-본점,"{'lat': '37.4839342', 'lng': '126.93936786'}","['한식', '고기/구이', '포장', '야식', '치킨']","{'average_rating': 4.9, 'count': 254, 'image_count': 240, 'reply_count': 214}",4.9,254.0,240.0,214.0,37.4839342,126.93936786,서울특별시 관악구 봉천로 356,서울,관악구,봉천동
프레퍼스다이어트푸드-신림본점,"{'lat': '37.4825212', 'lng': '126.92969821'}","['카페/디저트', '샐러드', '포장', '야식', '프랜차이즈']","{'average_rating': 4.9, 'count': 1095, 'image_count': 958, 'reply_count': 897}",4.9,1095.0,958.0,897.0,37.4825212,126.92969821,서울특별시 관악구 신림로 315,서울,관악구,신림동
